file_path,sub_dirname,file,start,end
pXX\p00\p007184\3300295_0025.dat,p007184,3300295_0025.dat,385,86195
pXX\p00\p007184\3300295_0025.dat,p007184,3300295_0025.dat,86200,741161
pXX\p00\p007184\3300295_0025.dat,p007184,3300295_0025.dat,749377,857658
pXX\p00\p007184\3300295_0025.dat,p007184,3300295_0025.dat,857662,1392124
pXX\p00\p008848\3605831_0043.dat,p008848,3605831_0043.dat,264,41124
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,899580,940639
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,962098,1027741
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,1027742,1160344
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,1212696,1260959
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,1274440,1323731
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,1336334,1389431
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,1496558,2099761
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2099771,2302052
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2316971,2418107
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2453536,2591540
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2591548,2673513
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2699881,2811767
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2854442,2999899
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,2999910,3083506
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,3083572,3167215
pXX\p01\p016590\3275119_0038.dat,p016590,3275119_0038.dat,3167216,3233952
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,15437,167104
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,171048,491868
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,530130,865411
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,892161,1425418
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,1566513,1641218
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,1650724,1760502
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,1816750,1908353
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,1933885,2053394
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2053395,2190300
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2190301,2241390
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2289483,2715102
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2719154,2778742
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2819329,2857185
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2857344,2985166
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,2998033,3084187
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,3084210,3420331
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,3455040,3594972
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,3594978,3672569
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,3684177,3895013
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,3895016,4030786
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,4030929,4177454
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,4177517,4240100
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,4242595,4291633
pXX\p01\p016590\3275119_0043.dat,p016590,3275119_0043.dat,4349958,4402309
pXX\p01\p017875\3158870_0019.dat,p017875,3158870_0019.dat,398,67125
pXX\p01\p017875\3158870_0022.dat,p017875,3158870_0022.dat,294,115499
pXX\p01\p017875\3158870_0028.dat,p017875,3158870_0028.dat,303,1201486
pXX\p01\p017875\3158870_0028.dat,p017875,3158870_0028.dat,1213160,1547761
pXX\p01\p017875\3158870_0028.dat,p017875,3158870_0028.dat,1549226,1917375
pXX\p02\p027162\3363366_0002.dat,p027162,3363366_0002.dat,10814,130908
pXX\p02\p027162\3363366_0002.dat,p027162,3363366_0002.dat,153759,311792
pXX\p02\p027162\3363366_0002.dat,p027162,3363366_0002.dat,311794,523920
pXX\p02\p027162\3363366_0002.dat,p027162,3363366_0002.dat,527315,804594
pXX\p02\p027162\3363366_0002.dat,p027162,3363366_0002.dat,833131,1771051
pXX\p02\p027162\3363366_0004.dat,p027162,3363366_0004.dat,293,249021
pXX\p02\p027162\3363366_0004.dat,p027162,3363366_0004.dat,249110,800499
pXX\p02\p027162\3363366_0005.dat,p027162,3363366_0005.dat,0,89423
pXX\p02\p027162\3363366_0005.dat,p027162,3363366_0005.dat,107850,370374
pXX\p02\p027162\3363366_0009.dat,p027162,3363366_0009.dat,55103,147999
pXX\p02\p027162\3363366_0010.dat,p027162,3363366_0010.dat,0,84346
pXX\p02\p027162\3363366_0015.dat,p027162,3363366_0015.dat,0,623076
pXX\p02\p027162\3363366_0015.dat,p027162,3363366_0015.dat,623254,1109068
pXX\p02\p027162\3363366_0015.dat,p027162,3363366_0015.dat,1109073,1424249
pXX\p02\p027162\3363366_0016.dat,p027162,3363366_0016.dat,0,774995
pXX\p02\p027162\3363366_0017.dat,p027162,3363366_0017.dat,437,673289
pXX\p02\p027162\3363366_0017.dat,p027162,3363366_0017.dat,681969,743492
pXX\p02\p027162\3363366_0017.dat,p027162,3363366_0017.dat,743497,800499
pXX\p02\p027162\3363366_0018.dat,p027162,3363366_0018.dat,21734,63433
pXX\p02\p027162\3363366_0018.dat,p027162,3363366_0018.dat,87082,136541
pXX\p02\p027162\3363366_0018.dat,p027162,3363366_0018.dat,141806,855102
pXX\p02\p027162\3363366_0018.dat,p027162,3363366_0018.dat,882044,1299749
pXX\p02\p027162\3363366_0020.dat,p027162,3363366_0020.dat,25211,664696
pXX\p02\p027162\3363366_0020.dat,p027162,3363366_0020.dat,664711,1516316
pXX\p02\p027162\3363366_0020.dat,p027162,3363366_0020.dat,1516323,4231765
pXX\p02\p027162\3363366_0020.dat,p027162,3363366_0020.dat,4233976,4282701
pXX\p02\p027162\3363366_0020.dat,p027162,3363366_0020.dat,4282706,4353624
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,339,79152
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,79156,400879
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,400881,444046
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,444047,589398
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,589405,1151372
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,1162981,2174162
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,2174175,2772814
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,2772884,2821610
pXX\p02\p027162\3363366_0024.dat,p027162,3363366_0024.dat,2821700,3027249
pXX\p02\p027162\3363366_0027.dat,p027162,3363366_0027.dat,0,764433
pXX\p02\p027162\3363366_0027.dat,p027162,3363366_0027.dat,792056,1572672
pXX\p02\p027162\3363366_0027.dat,p027162,3363366_0027.dat,1572679,1758674
pXX\p02\p027162\3363366_0027.dat,p027162,3363366_0027.dat,1758681,1925874
pXX\p02\p027162\3363366_0030.dat,p027162,3363366_0030.dat,34661,546124
pXX\p02\p027162\3363366_0031.dat,p027162,3363366_0031.dat,34222,277326
pXX\p02\p027162\3363366_0031.dat,p027162,3363366_0031.dat,334801,620785
pXX\p02\p027162\3363366_0031.dat,p027162,3363366_0031.dat,641709,1414207
pXX\p02\p027162\3363366_0031.dat,p027162,3363366_0031.dat,1448028,2223829
pXX\p02\p027162\3363366_0031.dat,p027162,3363366_0031.dat,2283354,2322124
